departamento,provincia,distrito,centro_poblado,categoria,codigo_de_ubigeo_y_centro_poblado,longitud,latitud,altitud,poblacion,vivienda,agua_por_red_publica,energia_electrica_en_la_vivienda,desague_por_red_publica,via_de_mayor_uso,transporte_de_mayor_uso,frecuencia,tiempo_en_minutos_hacia_la_capital_del_distrito,distancia_del_centro_poblado_hacia_la_capital_del_distritokm,distancia_del_centro_poblado_hacia_el_centro_poblado_educativo,distancia_del_centro_poblado_hacia_el_centro_de_salud_mas_cerca,alumbrado_publico,telefono_publico,local_comunal,hostal__albergue,estacion_de_radio,institucion_educativa_primaria,institucion_educativa_secundaria,establecimiento_puesto_de_salud,puesto_policial,oficina_de_correo,cabina_de_internet,heladas_nevadas,granizadas,lluvias,sequias,vendavales_vientos_fuertes,inundaciones,derrumbesdeslizamientos,huaycos__aludesaluviones,desertificaciones,salinizacion_de_los_suelos,actividad_volcanica,sismos,tsunami_u_oleadas_anomalos,otros_fenomenos_nat,derrame_de_sustancias_o_desechos_toxicos,fugas_de_gases_toxicos,explosiones,incendios_y_quemas,crianza_de_animales_en_zonas_urbanas,incremento_de_zonas_indus_no_autorizadas,zonas_aereoportuarias,rellenos_sanitarios,subversiones_yo_conflictos_sociales,otros_peligros,un_lecho_de_rio_o_quebrada,un_cuartel_militar_o_policial,una_via_ferrea,la_erosion_de_rios_en_laderas_de_cerros,barrancos_o_precipicios,otros,pistas_y_veredas_en_la_mayori_de_sus_calles_yo_manzanas,canales_de_drenaje_en_las_calles_para_la_evacuacion_de_las_agua,idioma_o_lengua_que_se_habla_con_mayor_frecuencia
AYACUCHO,VILCAS HUAMAN,CONCEPCION,LAMBRAS PUQUIO,,0511040042,-73.9010250000,-13.4691650000,3173.1,5,12,no,no,no,camino de herradura / trocha,a pie,,210,69.3,19.75,19.95,no,no,no,no,no,no,no,no,no,no,no,no,si,si,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,no,no,
AYACUCHO,VILCAS HUAMAN,VISCHONGO,PIZARA,,0511080042,-74.0158766667,-13.5944366667,3436.0,20,12,no,no,no,camino de herradura / trocha,a pie,,120,23.4,3.95,7.56,no,no,no,no,no,no,no,no,no,no,no,si,si,si,si,si,no,no,no,no,no sabe,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,

AYACUCHO,HUAMANGA,ACOS VINCHOS,CCOCHAPATA,OTROS,0501030043,-74.0681983333,-13.1328150000,3337.2,20,9,si,si,no,camino de herradura / trocha,a pie,,40,19.6,3.09,4.66,no,no,no,no,no,no,no,no,no,no,no,no,si,si,si,si,no,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,quechua
AYACUCHO,HUAMANGA,CHIARA,QUISHUARCANCHA,anexo,0501050043,-74.1329800000,-13.4442983333,3628.0,250,117,si,si,no,carretera afirmada,automovil,diario,180,119.8,,12.3,si,no,si,no,no,si,no,si,no,no,no,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,quechua

AYACUCHO,HUAMANGA,QUINUA,YANARUMI - AQCHAPA,NEP,0501080043,-74.1286600000,-13.1303950000,2580.6,15,10,no,si,no,camino carrozable,omnibus,interdiario,60,29.2,1.43,7.73,si,no,no,no,no,no,no,no,no,no,no,no,si,si,si,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,si,si,no,no,no,quechua
AYACUCHO,HUAMANGA,TAMBILLO,SANTA ROSA DE HUATATAS,OTROS,0501130043,-74.1879333333,-13.1932250000,2891.3,60,22,no,si,no,camino carrozable,a pie,,240,59.7,2.65,48.16,si,no,si,no,no,no,no,no,no,no,no,si,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,quechua
AYACUCHO,HUAMANGA,VINCHOS,PATAHUASI,unidad agropecuaria,0501140043,-74.4743766667,-13.2409233333,3829.3,18,48,no,si,no,camino de herradura / trocha,a pie,,300,50,,10.57,si,si,si,no,no,si,si,no,no,no,no,si,si,si,no,si,si,si,si,si,no,no,si,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,si,no,no,no,quechua
AYACUCHO,CANGALLO,CANGALLO,QUEROBAMBA,,0502010043,-74.0816800000,-13.6495733333,3473.9,40,50,si,si,no,camino de herradura / trocha,a pie,,240,35.2,0.09,16.58,no,no,no,no,no,no,no,no,no,no,no,si,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,si,si,no,no,no,
AYACUCHO,CANGALLO,CHUSCHI,PALLCCA,,0502020043,-74.4236483333,-13.5240033333,4252.6,3,3,no,no,no,carretera afirmada,omnibus,diario,150,66.3,2.4,17.77,no,no,no,no,no,no,no,no,no,no,no,si,si,si,no,si,no,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
AYACUCHO,CANGALLO,LOS MOROCHUCOS,TASTACUCHO,,0502030043,-74.2447500000,-13.5379250000,3580.7,20,10,si,si,no,camino de herradura / trocha,a pie,,60,15.1,1.8,2.26,no,no,no,no,no,no,no,no,no,no,no,si,si,si,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,no,no,
AYACUCHO,CANGALLO,MARIA PARADO DE BELLIDO,PAQPAYOCC,,0502040043,-74.2036633333,-13.6108816667,3217.5,8,5,si,si,no,camino de herradura / trocha,a pie,,120,15.5,8.32,1.14,no,no,no,no,no,no,no,no,no,no,no,no,si,si,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,no,no,
AYACUCHO,CANGALLO,PARAS,PUEBLO LIBRE,,0502050043,-74.7775566667,-13.4856083333,4199.1,120,50,si,si,no,camino carrozable,camioneta,diario,90,158,,8.5,no,no,no,no,no,no,no,no,no,no,no,si,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
AYACUCHO,CANGALLO,TOTOS,SANTA ROSA DE ATO,,0502060043,-74.4903766667,-13.5855966667,3362.6,7,3,no,si,no,camino de herradura / trocha,a pie,,30,22.3,1.38,6.62,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
